Code Ouvrage,Référence ouvrage,Métier,Prestation,Type de Toit,Nom de l'ouvrage,Chapitre de l'ouvrage (Dépose/Préparation du Support/ Pose ….),Texte de la ligne/ Texte commercial (rtf),Texte de la ligne/ Texte commercial (converti),Commentaire Technique/ Texte Chargé d'affaires (rtf),Commentaire Technique/ Texte Chargé d'affaires (converti),Unité de l'ouvrage,Code Article,Référence article,Désignation matériaux,Unité Article,Qté,Prix d'achat
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,Pose,"Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage et fixation en tête des relevés de la membrane par bande serrage. ","Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage et fixation en tête des relevés de la membrane par bande serrage.",,,ml,,,,,0,0
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,"Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage par Flexocol A89 0,70Kg/m², membrane Flagon SFc 15/10 en adhérence totale et fixation en tête des relevés de la membrane par bande serrage Flagorail fixée mécaniquement. ","Préparation du support comprenant enlèvement des déchets et assèchement. Fourniture, façonnage et pose d'un chéneau en membrane PVC compris encollage par Flexocol A89 0,70Kg/m², membrane Flagon SFc 15/10 en adhérence totale et fixation en tête des relevés de la membrane par bande serrage Flagorail fixée mécaniquement.",,,,,,0,0
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.15,126.5
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23222,R21100101,Etanchéité monocouche PVC nettoyant soudure Flagon PVC cleaner bidon de 3 litres,l,0.2,3.386
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23175,R21010301,"Etanchéité monocouche PVC membrane Flagon SFc 15/10 en adhérence totale rouleau de 20,00mx1,60m",m²,1,11.4
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23180,R21020301,"Etanchéité mono PVC colle Flexocol A89 pour support maçonnerie et bois 0,7kg/m2 bidon de 12kg",kg,0.3,5.49
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,23201,R21060101,Etanchéité mono PVC rail de fixation type Flagorail long 3ml,ml,1,4.6
2,AB30987,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Membrane PVC,,,,,,,3138,R104252,VINYTEC VIS TETE TORX 4X30 NATUREL - CARTON DE 500,u,5,0.6
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,Pose,Réalisation d'un chemisage en résine bicouche avec voile de renfort compris préparation du support et toutes sujétions. ,Réalisation d'un chemisage en résine bicouche avec voile de renfort compris préparation du support et toutes sujétions.,,,ml,,,,,0,0
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,"Réalisation de chemisage en résine bicouche sur chéneau acier comprenant décapage du support par TRIFLEX NETTOYANT 0,20l/m2, mise en place résine TRIFLEX PRODETAIL 3kg/m2 bicouche avec interposition d'un voile de renfort TRIFLEX. ","Réalisation de chemisage en résine bicouche sur chéneau acier comprenant décapage du support par TRIFLEX NETTOYANT 0,20l/m2, mise en place résine TRIFLEX PRODETAIL 3kg/m2 bicouche avec interposition d'un voile de renfort TRIFLEX.",,,,,,0,0
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,14248,R119828,GANTS DE TRAVAIL AVEC PAUME EN NITRILE NOIR/GRIS (PROTECTION NIV 3) TAILLE 10,u,1,4.33
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,24284,R27472,CHIFFONS                     1KG,forfa,1,0.25
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,260,26200-025,Triflex Metal Primaire,l,0.4,15.136
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,275,28040-802,"Seau plastique gradué universel 2,5 kg",u,1,0.85
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,314,28090-003,Spatule bois (450 x 35 mm),u,1,0.85
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,288,28054-010,"Pattes de lapin, 10 cm large",u,1,0.75
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,295,28059-060,"Pinceau à radiateurs, 60 mm large",u,1,1.98
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,152,26040-001,"Triflex Scotch armé pour surface minérale, 50 mm",m,0.1,0.67
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,256,26090-009-1,Triflex nettoyant  9 l,l,0.2,0.842
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,121,22900-730-150-2,Triflex ProDetail été gris pierre,kg,3,30.06
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,162,26051-026,"Triflex Voile de renfort 26,25 cm large",m,3,3.66
3,AB30988,Maintenance,Réparation,Bac Acier,Chemisage du chéneau en Résine,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,Dépose,Dépose d'une descente d'eaux pluviales en PVC de 100 y compris tous accessoires. ,Dépose d'une descente d'eaux pluviales en PVC de 100 y compris tous accessoires.,,,ml,,,,,0,0
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,Dépose d'une descente d'eaux pluviales en PVC de 100 y compris tous accessoires. ,Dépose d'une descente d'eaux pluviales en PVC de 100 y compris tous accessoires.,,,,,,0,0
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.15,16.5
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,Pose,Fourniture et pose d'une descente d'eaux pluviales en PVC de 100 comprenant colliers et fixations,Fourniture et pose d'une descente d'eaux pluviales en PVC de 100 comprenant colliers et fixations,,,ml,,,,,0,0
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,"Fourniture et pose d'une descente d'eaux pluviales en PVC de 100 comprenant colliers PVA à embase taraudée, fixations pattes à vis et cheville nylon 7/50 Surface maxi desservie par tuyau de Ø100 inf. 113,00m²","Fourniture et pose d'une descente d'eaux pluviales en PVC de 100 comprenant colliers PVA à embase taraudée, fixations pattes à vis et cheville nylon 7/50 Surface maxi desservie par tuyau de Ø100 inf. 113,00m²",,,,,,0,0
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.5,55
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,20765,R126897,TUBE DE DESCENTE PVC Ø100 PREMANCHONNE 3ML SABLE TD1003PS,ml,1,10.6
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,26562,R41660,COLLIER BRIDE PVC Ø125 SABLE COXGTS,u,1,3.64
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,24694,R29763,*** CHEVILLE NYLONG 10-10/60 TH - BOITE DE 50,u,1,0.2
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,20134,R126199,PATTE A VIS BOIS M8 L70 - BOITE DE 100,u,1,0.62
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
4,AB313,Maintenance,Réparation,Tous les toits,Changement de descentes PVC 100,,,,,,,17718,R123627,SANIPLAS PA - BOITE DE COLLE PVC 1L 020403,u,0.05,0.7125
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,Dépose,"Dépose du complexe d'étanchéité sur environ 1,00M² jusqu'au support. ","Dépose du complexe d'étanchéité sur environ 1,00M² jusqu'au support.",,,un,,,,,0,0
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,"Dépose du complexe d'étanchéité sur environ 1,00M² jusqu'au support. ","Dépose du complexe d'étanchéité sur environ 1,00M² jusqu'au support.",,,,,,0,0
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,Pose,"Fourniture et pose d'une naissance de diamètre 100 comprenant une platine, un vernis d'impression, une première couche d'étanchéité adhésive semi-indépendante et une deuxième couche d'étanchéité soudée en plein","Fourniture et pose d'une naissance de diamètre 100 comprenant une platine, un vernis d'impression, une première couche d'étanchéité adhésive semi-indépendante et une deuxième couche d'étanchéité soudée en plein",,,un,,,,,0,0
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,"Création d'une naissance avec crapaudine comprenant un vernis d'impression AQUADERE 0,30l/m², d'une équerre de renfort SOPRALENE et d'une équerre de finition des relevés SOPRALAST 50 TV ALU soudée en plein. Remise en place de la crapaudine. Prévoir un décaissement au droit de la naissance de 2cm sur 1,00m²","Création d'une naissance avec crapaudine comprenant un vernis d'impression AQUADERE 0,30l/m², d'une équerre de renfort SOPRALENE et d'une équerre de finition des relevés SOPRALAST 50 TV ALU soudée en plein. Remise en place de la crapaudine. Prévoir un décaissement au droit de la naissance de 2cm sur 1,00m²",,,,,,0,0
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,3.5,385
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,23007,R20012801,Étanchéité SOPREMA naissance EEP Ø90/95 à l'unité,u,1,50
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,22979,R20010101,"Étanchéité SOPREMA enduit d'imprégnation AQUADERE env. 0,30l/m² suivant support bidon de 5 litres",l,0.3,0.24
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,22993,R20011501,"Étanchéité SOPREMA équerre de renfort SOPRALENE rouleau de 10,00m x0,25m",ml,0.5,1.2
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,22994,R20011601,"Étanchéité SOPREMA étanchéité autoprotégée SOPRALAST 50TV rouleau de 6,00m x 1,00m",m²,0.6,7.2
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,22997,R20011901,Triflex ProDetail été gris pierre,kg,1.6,16.032
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,22999,R20012001,"Triflex Voile de renfort 26,25 cm large",ml,1,1.22
5,AB3911113,Maintenance,Réparation,Etanchéité Bitumineuse,Reprise d'une naissance,,,,,,,21070,R127208,CRAPAUDINE GARDE GREVE GALVA 300X300,u,1,23.32
6,AB3912113,Maintenance,Réparation,Etanchéité Par membrane PVC,Reprise d'une naissance,pose,"Après nettoyage et dégraissage, chemisage de l'EP par l'intérieur avec Membrane en adhérence totale. ","Après nettoyage et dégraissage, chemisage de l'EP par l'intérieur avec Membrane en adhérence totale.",,,un,,,,,0,0
6,AB3912113,Maintenance,Réparation,Etanchéité Par membrane PVC,Reprise d'une naissance,,,,"Reprise naissance en membrane PVC compris encollage par Flexocol V 0,4Kg/m², membrane Flagon SFc 15/10 en adhérence totale. ","Reprise naissance en membrane PVC compris encollage par Flexocol V 0,4Kg/m², membrane Flagon SFc 15/10 en adhérence totale.",,,,,,0,0
6,AB3912113,Maintenance,Réparation,Etanchéité Par membrane PVC,Reprise d'une naissance,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,1.25,137.5
6,AB3912113,Maintenance,Réparation,Etanchéité Par membrane PVC,Reprise d'une naissance,,,,,,,23222,R21100101,Etanchéité monocouche PVC nettoyant soudure Flagon PVC cleaner bidon de 3 litres,l,0.2,3.386
6,AB3912113,Maintenance,Réparation,Etanchéité Par membrane PVC,Reprise d'une naissance,,,,,,,23173,R21010101,"Etanchéité monocouche PVC membrane Flagon SFc 15/10 en adhérence totale rouleau de 20,00mx1,60m",m²,1,11.4
6,AB3912113,Maintenance,Réparation,Etanchéité Par membrane PVC,Reprise d'une naissance,,,,,,,23181,R21020401,"Etanchéité monocouche PVC colle Flexocol V pour double encollage 0,4kg/m2 bidon de 12kg",kg,1,12.93
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,Dépose ,Dépose d'une descente d'eaux pluviales en zinc de 80 y compris tous accessoires. ,Dépose d'une descente d'eaux pluviales en zinc de 80 y compris tous accessoires.,,,ml,,,,,0,0
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,Dépose d'une descente d'eaux pluviales en zinc de 80 y compris tous accessoires. ,Dépose d'une descente d'eaux pluviales en zinc de 80 y compris tous accessoires.,,,,,,0,0
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.25,27.5
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,Pose,"Fourniture et pose d'une descente d'eaux pluviales en zinc de 80 comprenant bagues, colliers, soudure et fixations","Fourniture et pose d'une descente d'eaux pluviales en zinc de 80 comprenant bagues, colliers, soudure et fixations",,,ml,,,,,0,0
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,"Fourniture et pose d'une descente d'eaux pluviales en zinc de 80 comprenant bagues soudées à l'étain, colliers acier galvanisé à embase taraudée, fixations pattes à vis et cheville nylon 7/50 Surface maxi desservie par tuyau de Ø80 inf. 71,00m²","Fourniture et pose d'une descente d'eaux pluviales en zinc de 80 comprenant bagues soudées à l'étain, colliers acier galvanisé à embase taraudée, fixations pattes à vis et cheville nylon 7/50 Surface maxi desservie par tuyau de Ø80 inf. 71,00m²",,,,,,0,0
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,22290,R1624,"TUYAU ZINC NATUREL VM TRONCONIQUE SOUDE Ø 80 0,65MM 2ML",ml,1,7.91
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,29268,R61211,BAGUE ZINC SIMPLE EXTENSIBLE  Ø80MM,u,1,1.53
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,35135,R8728,COLLIER DE DESCENTE INOX  Ø80 7X150MM,u,1,5.01
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,24694,R29763,*** CHEVILLE NYLONG 10-10/60 TH - BOITE DE 50,u,1,0.2
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,20134,R126199,PATTE A VIS BOIS M8 L70 - BOITE DE 100,u,1,0.62
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
7,AB414,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 80,,,,,,,32248,R74026,SOUDURE ETAIN TARGETTE 33,forfa,0.1,0.325
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,Dépose,Dépose d'une descente d'eaux pluviales en zinc de 100 y compris tous accessoires. ,Dépose d'une descente d'eaux pluviales en zinc de 100 y compris tous accessoires.,,,ml,,,,,0,0
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,Dépose d'une descente d'eaux pluviales en zinc de 100 y compris tous accessoires. ,Dépose d'une descente d'eaux pluviales en zinc de 100 y compris tous accessoires.,,,,,,0,0
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.25,27.5
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,Pose,"Fourniture et pose d'une descente d'eaux pluviales en zinc de 100 comprenant bagues, colliers, soudure et fixations","Fourniture et pose d'une descente d'eaux pluviales en zinc de 100 comprenant bagues, colliers, soudure et fixations",,,ml,,,,,0,0
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,"Fourniture et pose d'une descente d'eaux pluviales en zinc de 100 comprenant bagues soudées à l'étain, colliers acier galvanisé à embase taraudée, fixations pattes à vis et cheville nylon 7/50 Surface maxi desservie par tuyau de Ø100 inf. 113,00m²","Fourniture et pose d'une descente d'eaux pluviales en zinc de 100 comprenant bagues soudées à l'étain, colliers acier galvanisé à embase taraudée, fixations pattes à vis et cheville nylon 7/50 Surface maxi desservie par tuyau de Ø100 inf. 113,00m²",,,,,,0,0
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,22295,R1625,"TUYAU ZINC NATUREL VM TRONCONIQUE SOUDE Ø 100 0,65MM 2ML",ml,1,15
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,29270,R61215,BAGUE ZINC SIMPLE EXTENSIBLE  Ø100MM,u,1,1.53
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,21961,R14629,COLLIER DE DESCENTE INOX  Ø100 7X150MM,u,1,0.22
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,24694,R29763,*** CHEVILLE NYLONG 10-10/60 TH - BOITE DE 50,u,1,0.2
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,20134,R126199,PATTE A VIS BOIS M8 L70 - BOITE DE 100,u,1,0.62
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
8,AB515,Maintenance,Réparation,Tous les toits,Changement de descentes  Zinc 100,,,,,,,32248,R74026,SOUDURE ETAIN TARGETTE 33,forfa,0.1,0.325
9,AB616,Maintenance,Réparation,Tous les toits,Remplacement d'une crapaudine,Pose,Fourniture et pose d'une crapaudine en fil d'acier galvanisé,Fourniture et pose d'une crapaudine en fil d'acier galvanisé,,,un,,,,,0,0
9,AB616,Maintenance,Réparation,Tous les toits,Remplacement d'une crapaudine,,,,Fourniture et pose d'une crapaudine en fil d'acier galvanisé. Dimension de la crapaudine selon section de la naissance. ,Fourniture et pose d'une crapaudine en fil d'acier galvanisé. Dimension de la crapaudine selon section de la naissance.,,,,,,0,0
9,AB616,Maintenance,Réparation,Tous les toits,Remplacement d'une crapaudine,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.15,16.5
9,AB616,Maintenance,Réparation,Tous les toits,Remplacement d'une crapaudine,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,Dépose,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,un,,,,,0,0
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,,,,0,0
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.25,27.5
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,Pose,Fourniture et pose d'un col de cygne en zinc Ø100 compris soudure et raccordement à la descente,Fourniture et pose d'un col de cygne en zinc Ø100 compris soudure et raccordement à la descente,,,un,,,,,0,0
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,Fourniture et pose d'un col de cygne en zinc Ø100 compris soudure étain et raccordement à la descente,Fourniture et pose d'un col de cygne en zinc Ø100 compris soudure étain et raccordement à la descente,,,,,,0,0
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,,,,22295,R1625,"TUYAU ZINC NATUREL VM TRONCONIQUE SOUDE Ø 100 0,65MM 2ML",ml,1,15
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,,,,24440,R28438,COUDE ZINC NATUREL VM A 72° P.TUYAU CYLINDRIQUE SOUDE  B.A B. Ø100MM,u,2,10.06
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,,,,32248,R74026,SOUDURE ETAIN TARGETTE 33,forfa,0.1,0.325
10,AB7110,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 100,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,Dépose,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,un,,,,,0,0
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,,,,0,0
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.25,27.5
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,Pose,Fourniture et pose d'un col de cygne en PVC Ø80 compris encollage et raccordement à la descente,Fourniture et pose d'un col de cygne en PVC Ø80 compris encollage et raccordement à la descente,,,un,,,,,0,0
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,Fourniture et pose d'un col de cygne en PVC Ø80 compris encollage et raccordement à la descente,Fourniture et pose d'un col de cygne en PVC Ø80 compris encollage et raccordement à la descente,,,,,,0,0
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.5,55
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,,,,19202,R12519,TUBE DE DESCENTE PVC Ø80 PREMANCHONNE 3ML SABLE TD803PS,ml,1,10.6
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,,,,25963,R37140,COUDE 45° MALE/FEM - TUYAU DESCENTE Ø80MM SABLE,u,2,13.74
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,,,,17718,R123627,SANIPLAS PA - BOITE DE COLLE PVC 1L 020403,u,0.05,0.7125
11,AB717,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 80,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,Dépose,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,un,,,,,0,0
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,,,,0,0
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.25,27.5
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,Pose,Fourniture et pose d'un col de cygne en PVC Ø100 compris encollage et raccordement à la descente,Fourniture et pose d'un col de cygne en PVC Ø100 compris encollage et raccordement à la descente,,,un,,,,,0,0
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,Fourniture et pose d'un col de cygne en ØPVC 100 compris encollage et raccordement à la descente,Fourniture et pose d'un col de cygne en ØPVC 100 compris encollage et raccordement à la descente,,,,,,0,0
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.5,55
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,,,,20765,R126897,TUBE DE DESCENTE PVC Ø100 PREMANCHONNE 3ML SABLE TD1003PS,ml,1,10.6
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,,,,35313,R87641,COUDE 45° MALE/FEM - TUYAU DESCENTE Ø100MM SABLE,u,2,24.72
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,,,,17718,R123627,SANIPLAS PA - BOITE DE COLLE PVC 1L 020403,u,0.05,0.7125
12,AB718,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne PVC 100,,,,,,,10888,R115153,*** CRAPAUDINE DROITE GALVA Ø80 A 100MM,u,1,7.16
13,AB719,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 80,Dépose,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,un,,,,,0,0
13,AB719,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 80,,,,Dépose du col de cygne existant y compris tous accessoires,Dépose du col de cygne existant y compris tous accessoires,,,,,,0,0
13,AB719,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 80,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.25,27.5
13,AB719,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 80,Pose,Fourniture et pose d'un col de cygne en zinc Ø80 compris soudure et raccordement à la descente,Fourniture et pose d'un col de cygne en zinc Ø80 compris soudure et raccordement à la descente,,,un,,,,,0,0
13,AB719,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 80,,,,Fourniture et pose d'un col de cygne en zinc Ø80 compris soudure étain et raccordement à la descente,Fourniture et pose d'un col de cygne en zinc Ø80 compris soudure étain et raccordement à la descente,,,,,,0,0
13,AB719,Maintenance,Réparation,Tous les toits,Remplacement d'un col de Cygne Zinc 80,,,,,,,811,R10010101,main d'œuvre ouvrier chantier ,h,0.75,82.5
